features,model,Accuracy,Precision,Recall,F1
ALL,DecisionTree,0.828912822161496,0.6594202898550725,0.6532033426183844,0.6562970936490851
ALL,KNN,0.8413974173498365,0.6568357221609702,0.7659095778872937,0.7071916114353546
ALL,RandomForest,0.8665541445641108,0.6825769650197131,0.8717591600599958,0.7656551399670666
WIND_ONLY,DecisionTree,0.7421100573326903,0.48064687168610815,0.3884722519820013,0.42967176205711577
WIND_ONLY,KNN,0.6755612709639394,0.3476064997804128,0.3391900578530105,0.34334670859993494
WIND_ONLY,RandomForest,0.7462894497133366,0.4873134328358209,0.27983715448896507,0.35551925956172586
