features,model,MAE,RMSE,R2
ALL,DecisionTree,5.065080848785986,19.682093445381096,0.7703421437346876
ALL,KNN,5.530581123594754,25.858349735509567,0.6035938918384246
ALL,RandomForest,4.884443961450938,19.588147646643893,0.772529299221696
WIND_ONLY,DecisionTree,7.202922806221851,41.059873048578616,0.0005204045832494231
WIND_ONLY,KNN,8.968552746486344,41.32393557165017,-0.01237655568774465
WIND_ONLY,RandomForest,11.70426817542276,45.59201409563682,-0.23229953410657167
