features,model,Accuracy,Precision,Recall,F1
WEATHER,DecisionTree,0.4380252100840336,0.25345877144438295,0.6414565826330533,0.36334787782625944
WEATHER,KNN,0.4094728800611154,0.2571285869960044,0.7210338680926917,0.37907490461208915
WEATHER,RandomForest,0.3324420677361854,0.2615602733750182,0.9160937102113572,0.4069339969458741
ONBOARD,DecisionTree,0.9394257703081232,0.9056578050443082,0.8458110516934046,0.8747119626045164
ONBOARD,KNN,0.9360516934046346,0.9630803359214071,0.7738731856378915,0.8581715495940699
ONBOARD,RandomForest,0.9467787114845938,0.9269337016574586,0.8544690603514133,0.8892275076189214
ALL,DecisionTree,0.9354787369493252,0.8872790110328327,0.8498854087089381,0.868179748975743
ALL,KNN,0.92825311942959,0.9663557628247835,0.7387318563789153,0.8373502669937942
ALL,RandomForest,0.944996180290298,0.9131373077960615,0.8619811560988031,0.8868221116059732
