features,model,MAE,RMSE,R2
WEATHER,DecisionTree,7.565197648588677,10.517994867222532,-1.3199910407416042
WEATHER,KNN,8.875193608172532,11.097124165263953,-1.5825057038550767
WEATHER,RandomForest,8.498898023633505,10.317938813301605,-1.2325762216230292
ONBOARD,DecisionTree,1.8482773829481014,5.530324965945007,0.35861071302530845
ONBOARD,KNN,1.6702894485040467,4.897419549138955,0.4970150163260274
ONBOARD,RandomForest,1.811923340482059,5.424992217772831,0.3828103454774492
ALL,DecisionTree,2.248468478485588,6.304889010203525,0.16636624753705942
ALL,KNN,1.8282432352747042,4.792800591077731,0.518275073711712
ALL,RandomForest,2.1417572147703043,6.08330476374465,0.2239324087428719
